iter	Logloss
0	0.5622831816
1	0.4835949262
2	0.422072878
3	0.3876392324
4	0.3665018964
5	0.3509609703
6	0.3432859846
7	0.3360763805
8	0.3309767033
9	0.328919499
10	0.3252516705
11	0.3231707791
12	0.3206092707
13	0.3192250971
14	0.3175271342
15	0.3161082058
16	0.3150892706
17	0.3138645386
18	0.3115112351
19	0.3104799818
20	0.309483298
21	0.3081517082
22	0.3072616739
23	0.3053152174
24	0.3044312727
25	0.3028613077
26	0.3016621846
27	0.2993842025
28	0.2991105168
29	0.298159401
30	0.296305354
31	0.2958178831
32	0.2950756669
33	0.2935025066
34	0.2922858787
35	0.2914063102
36	0.2907964912
37	0.2903971231
38	0.2893376676
39	0.2878465204
40	0.2854296579
41	0.2842982615
42	0.2834813953
43	0.2824570883
44	0.2817854237
45	0.2805089647
46	0.2799183407
47	0.2760523795
48	0.2754412638
49	0.2744473586
50	0.2726975298
51	0.2707260201
52	0.2681537449
53	0.2646638815
54	0.2631967918
55	0.2602918101
56	0.2571682503
57	0.2567203967
58	0.2558785932
59	0.2554216399
60	0.2547766261
61	0.2525526634
62	0.2511240564
63	0.2493195599
64	0.248411303
65	0.2476310672
66	0.246086109
67	0.2449306783
68	0.2429573626
69	0.241928309
70	0.2390795695
71	0.2368585474
72	0.234718589
73	0.2324722823
74	0.230674269
75	0.2300349049
76	0.2279072416
77	0.2252838181
78	0.2249539134
79	0.2243025321
80	0.2232600952
81	0.220730563
82	0.219320248
83	0.2186419844
84	0.2179552463
85	0.2166808248
86	0.215330943
87	0.2140813663
88	0.2136452057
89	0.2120744998
90	0.2114118423
91	0.2108291603
92	0.2097208489
93	0.2083314655
94	0.2079578915
95	0.206808041
96	0.2062870888
97	0.2049083565
98	0.2043744378
99	0.2035528944
100	0.2028886624
101	0.2023880399
102	0.2021323915
103	0.2013178407
104	0.2003901804
105	0.1998223173
106	0.1993790715
107	0.1978096159
108	0.1960987097
109	0.1943809498
110	0.1926425245
111	0.1915785423
112	0.1899711366
113	0.1890919965
114	0.1887765401
115	0.1874175701
116	0.1870542882
117	0.1865069399
118	0.1861080812
119	0.1855284904
120	0.1848958642
121	0.1834922987
122	0.1826573836
123	0.1822795492
124	0.1820781054
125	0.1818655474
126	0.1816414354
127	0.1814241655
128	0.1811826761
129	0.180598929
130	0.1804123272
131	0.1799052445
132	0.1795241337
133	0.1789666322
134	0.1784736737
135	0.1778636811
136	0.1772121262
137	0.1770146418
138	0.1763221729
139	0.1743537775
140	0.1738260758
141	0.1735257856
142	0.1730196755
143	0.1728048136
144	0.1721100872
145	0.1712702171
146	0.1708480765
147	0.1698693028
148	0.1694861544
149	0.1692608846
150	0.1687848752
151	0.1686061923
152	0.1681462289
153	0.1679019725
154	0.1675532664
155	0.1669879155
156	0.1667046091
157	0.1664279365
158	0.1662947404
159	0.1660045919
160	0.16592156
161	0.1647932663
162	0.1641642175
163	0.1635623174
164	0.1634980406
165	0.16323922
166	0.1623249314
167	0.1610809002
168	0.1608016806
169	0.1602627489
170	0.1595286715
171	0.1590097106
172	0.1586024237
173	0.1581947431
174	0.1575015449
175	0.1569689228
176	0.1560594619
177	0.1554528614
178	0.1551139959
179	0.1549262132
180	0.1538560835
181	0.1531944449
182	0.1527655316
183	0.1525675031
184	0.1520109394
185	0.1518883597
186	0.1513953896
187	0.1507206339
188	0.1504174842
189	0.1501967064
190	0.1499574861
191	0.1498213842
192	0.1492439235
193	0.1489469444
194	0.1485703834
195	0.1478597731
196	0.1476015777
197	0.1471589802
198	0.1467524921
199	0.1460582056
200	0.1454151136
201	0.1450303907
202	0.144386523
203	0.1440235074
204	0.143644249
205	0.1435897434
206	0.1434974265
207	0.1431122521
208	0.1428138606
209	0.1426874256
210	0.1424308858
211	0.1419927108
212	0.1412676057
213	0.1406270144
214	0.1401016513
215	0.1397174031
216	0.1390814079
217	0.1386432792
218	0.1383568123
219	0.1376996655
220	0.1373328526
221	0.1371443521
222	0.1363767239
223	0.1358859999
224	0.1355525872
225	0.1353322031
226	0.1350374931
227	0.1348508218
228	0.1344445884
229	0.1342739748
230	0.1341973914
231	0.1340180601
232	0.133298188
233	0.1329091583
234	0.1326514028
235	0.1321712257
236	0.1320319632
237	0.1314854716
238	0.1311334775
239	0.1310554933
240	0.1303401594
241	0.1299707994
242	0.1298039947
243	0.1297393012
244	0.1296881066
245	0.1292521661
246	0.1291710791
247	0.1287091824
248	0.1285144071
249	0.1282217463
250	0.1280090147
251	0.1274763926
252	0.1269018379
253	0.1262333223
254	0.1258193669
255	0.1256485448
256	0.1254220016
257	0.1251421915
258	0.1248612816
259	0.1247117964
260	0.1245312611
261	0.1241826013
262	0.1239466457
263	0.1236825112
264	0.1232857827
265	0.1226927044
266	0.1223713668
267	0.1221747854
268	0.1219617181
269	0.1216537869
270	0.1214625542
271	0.1212601611
272	0.12116451
273	0.1210516205
274	0.1207095712
275	0.1202756103
276	0.1198848209
277	0.11954687
278	0.1191126776
279	0.1189105854
280	0.1188470033
281	0.1187755486
282	0.1183602965
283	0.1181452379
284	0.1178765536
285	0.1174735386
286	0.1172074823
287	0.1169995552
288	0.1167257538
289	0.1164365314
290	0.1163786453
291	0.1159978933
292	0.1158269092
293	0.1155024805
294	0.1150917898
295	0.1145921976
296	0.1144492304
297	0.1140237788
298	0.1138608756
299	0.113703078
